step,system_total_running,system_total_backlogged,system_total_stopped,system_total_arrived,system_total_departed,system_total_teleported,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,0_stopped,0_accumulated_waiting_time,0_average_speed,1_stopped,1_accumulated_waiting_time,1_average_speed,10_stopped,10_accumulated_waiting_time,10_average_speed,11_stopped,11_accumulated_waiting_time,11_average_speed,12_stopped,12_accumulated_waiting_time,12_average_speed,13_stopped,13_accumulated_waiting_time,13_average_speed,14_stopped,14_accumulated_waiting_time,14_average_speed,15_stopped,15_accumulated_waiting_time,15_average_speed,2_stopped,2_accumulated_waiting_time,2_average_speed,3_stopped,3_accumulated_waiting_time,3_average_speed,4_stopped,4_accumulated_waiting_time,4_average_speed,5_stopped,5_accumulated_waiting_time,5_average_speed,6_stopped,6_accumulated_waiting_time,6_average_speed,7_stopped,7_accumulated_waiting_time,7_average_speed,8_stopped,8_accumulated_waiting_time,8_average_speed,9_stopped,9_accumulated_waiting_time,9_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
5.0,16,0,0,0,16,0,0.0,0.0,12.730770450993852,0,0.0,0.9493146607054584,0,0.0,0.9494645173870064,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9537570506800664,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9557420326292962,0,0.0,0.9517945892209339,0,0.0,0.9589517528618916,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9575498814831032,0,0.0,1.0,0,0.0
10.0,32,0,0,0,32,0,0.0,0.0,12.897445664318699,0,0.0,0.9676667016626198,0,0.0,0.9681812113642718,0,0.0,1.0,0,0.0,1.0,0,0.0,0.8959356123089747,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9717345133765982,0,0.0,0.9693175381951254,0,0.0,0.8840347448960741,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9534435044176002,0,0.0,1.0,0,0.0
15.0,40,0,0,0,40,0,0.0,0.0,11.499453270116222,0,0.0,0.9516376453845388,0,0.0,0.8981038250262,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9606716766567744,0,0.0,0.5685633835672638,0,0.0,1.0,0,0.0,1.0,0,0.0,0.6392768242345594,0,0.0,0.7443022927730228,0,0.0,0.9531541868734755,0,0.0,0.7268161073122781,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9536859696385119,0,0.0,0.8485419678967561,0,0.0
20.0,56,0,5,0,56,0,15.0,0.26785714285714285,10.7566302845637,1,3.0,0.6198870927027548,0,0.0,0.9612733329314954,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9424656229132371,0,0.0,0.9691803210526171,0,0.0,1.0,0,0.0,1.0,2,7.0,0.46799072391438284,2,5.0,0.5118500557461589,0,0.0,0.9348376483191343,0,0.0,0.9362862461623985,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9155155773417119,0,0.0,0.9799259433066991,5,15.0
25.0,72,0,4,0,72,0,18.0,0.25,10.156880114245485,4,18.0,0.5460950672602587,0,0.0,0.840096306117398,0,0.0,0.9795539627112617,0,0.0,1.0,0,0.0,0.8302084689329897,0,0.0,0.8041796817940818,0,0.0,1.0,0,0.0,1.0,0,2.0,0.6764060426272501,0,3.0,0.563580732004701,0,0.0,0.8613797893558692,0,0.0,0.8382668345935422,0,4.0,0.43871940685247957,0,2.0,0.4400918210514869,0,0.0,0.9440754181425254,0,0.0,0.9492731655503924,4,29.0
30.0,80,0,9,0,80,0,20.0,0.25,9.31616842775118,1,18.0,0.5535578744166028,1,1.0,0.6875592596383069,0,0.0,0.9686574956140465,0,0.0,1.0,2,3.0,0.5110106317098081,1,4.0,0.5084704917793026,0,0.0,1.0,0,0.0,1.0,0,0.0,0.711674057023989,0,0.0,0.8582644151420007,2,8.0,0.5102413481007767,2,5.0,0.5191245758306439,0,4.0,0.9051115398109926,0,4.0,0.8550224291478243,0,0.0,0.7097518635575746,0,0.0,0.9767850370938708,9,47.0
35.0,96,0,11,0,96,0,41.0,0.4270833333333333,9.444208833548865,1,3.0,0.6702859723003106,2,9.0,0.5881585017468244,0,0.0,0.9526228026797341,0,0.0,1.0,0,1.0,0.6305747618425165,0,4.0,0.4208974992022892,0,2.0,0.6337152560942129,0,0.0,1.0,0,0.0,0.8230431314146082,1,3.0,0.6100787048930861,0,3.0,0.7052785603873931,4,22.0,0.2795864181607192,0,4.0,0.9303101366915313,0,4.0,0.8785028583139631,3,8.0,0.5286504010549893,0,0.0,0.9411999230077548,11,63.0
40.0,112,0,7,0,112,0,23.0,0.20535714285714285,9.77458926550288,2,4.0,0.6278112130946543,0,6.0,0.5032410809552964,0,0.0,0.9345074993629526,0,0.0,0.9317216999668518,0,0.0,0.9535589985842382,0,4.0,0.9172289218383988,0,2.0,0.9469613844549797,0,0.0,1.0,2,6.0,0.7513615317069756,3,14.0,0.4410849465817947,0,2.0,0.8837452794941277,0,13.0,0.6311975237013189,0,0.0,0.9095051686899576,0,0.0,0.786424352282199,0,4.0,0.6154308163214168,0,2.0,0.4873952975909005,7,57.0
45.0,120,0,9,0,120,0,32.0,0.26666666666666666,9.958595263322342,4,17.0,0.49729863751087394,1,8.0,0.7905358349801866,0,3.0,0.8320580175938173,0,0.0,0.9391013288788088,0,0.0,0.7498921318546552,0,4.0,0.9369911842907399,0,2.0,0.9430835324579722,0,0.0,1.0,0,1.0,0.48626336711153745,0,9.0,0.5977651842611436,0,2.0,0.7815312941609712,1,13.0,0.7907958356990304,0,8.0,0.708274634569921,2,8.0,0.2133619151348203,0,0.0,0.8913793271693674,1,5.0,0.6642876834462931,9,80.0
50.0,136,0,13,0,136,0,51.0,0.375,9.492416799854954,0,12.0,0.6319393367628571,1,5.0,0.744323546662463,0,3.0,0.933966313222931,0,0.0,0.6069534722671298,1,4.0,0.578070607191307,1,6.0,0.3653255285009183,0,0.0,0.9358880038385574,0,0.0,0.9782261845993316,3,12.0,0.5410412746710574,0,0.0,0.9034272351037965,1,6.0,0.5289979220776565,1,9.0,0.5725850372020921,0,8.0,0.880300047585156,2,18.0,0.6144179924856116,1,4.0,0.7510721087234522,2,14.0,0.6982415053645517,13,101.0
