step,system_total_running,system_total_backlogged,system_total_stopped,system_total_arrived,system_total_departed,system_total_teleported,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,0_stopped,0_accumulated_waiting_time,0_average_speed,1_stopped,1_accumulated_waiting_time,1_average_speed,10_stopped,10_accumulated_waiting_time,10_average_speed,11_stopped,11_accumulated_waiting_time,11_average_speed,12_stopped,12_accumulated_waiting_time,12_average_speed,13_stopped,13_accumulated_waiting_time,13_average_speed,14_stopped,14_accumulated_waiting_time,14_average_speed,15_stopped,15_accumulated_waiting_time,15_average_speed,2_stopped,2_accumulated_waiting_time,2_average_speed,3_stopped,3_accumulated_waiting_time,3_average_speed,4_stopped,4_accumulated_waiting_time,4_average_speed,5_stopped,5_accumulated_waiting_time,5_average_speed,6_stopped,6_accumulated_waiting_time,6_average_speed,7_stopped,7_accumulated_waiting_time,7_average_speed,8_stopped,8_accumulated_waiting_time,8_average_speed,9_stopped,9_accumulated_waiting_time,9_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
5.0,16,0,0,0,16,0,0.0,0.0,13.503921730139666,0,0.0,0.9855466771849936,0,0.0,0.9847090655283741,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9840997374382824,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9839021433698392,0,0.0,0.9788865919155465,0,0.0,0.9844320229826076,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9833497422377676,0,0.0,1.0,0,0.0
10.0,32,0,0,0,32,0,0.0,0.0,12.737389752479547,0,0.0,0.9064550148560594,0,0.0,0.9475062041563241,0,0.0,1.0,0,0.0,1.0,0,0.0,0.836441272666166,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9516474832830049,0,0.0,0.9493943839626717,0,0.0,0.9381064240766541,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9131187740216873,0,0.0,1.0,0,0.0
15.0,40,0,0,0,40,0,0.0,0.0,11.535653550425433,0,0.0,0.7484148568847508,0,0.0,0.8480845816387198,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9318760132086761,0,0.0,0.4216076590365982,0,0.0,1.0,0,0.0,1.0,0,0.0,0.7107690062129113,0,0.0,0.9142522400416706,0,0.0,0.8869184167211724,0,0.0,0.8415901001879261,0,0.0,1.0,0,0.0,0.9498321392298661,0,0.0,0.9302023184597163,0,0.0,0.6986176759889259,0,0.0
20.0,56,0,4,0,56,0,13.0,0.23214285714285715,11.143474357426227,2,7.0,0.6779785738048093,0,0.0,0.9296452759811052,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9457672262372027,0,0.0,0.9727131784136986,0,0.0,1.0,0,0.0,1.0,2,6.0,0.5012975797910307,0,0.0,0.6439511157716166,0,0.0,0.9541877906855201,0,0.0,0.9447082294380312,0,0.0,1.0,0,0.0,0.9883198240316622,0,0.0,0.9476818675161828,0,0.0,0.9815395778292716,4,13.0
25.0,72,0,5,0,72,0,12.0,0.16666666666666666,9.9618731702726,0,2.0,0.6746826497391383,2,4.0,0.6336722185671485,0,0.0,1.0,0,0.0,0.9704296658142874,0,0.0,0.9825479253078162,0,0.0,0.8344071220395268,0,0.0,1.0,0,0.0,1.0,0,3.0,0.5795588972847587,3,8.0,0.5432798566908058,0,4.0,0.7834180117138914,0,0.0,0.7595501015413282,0,4.0,0.4598718680664924,0,0.0,1.0,0,0.0,0.9459171240851743,0,0.0,0.852911498232937,5,25.0
30.0,80,0,6,0,80,0,14.0,0.175,9.642638836003067,1,4.0,0.7258364826535444,0,3.0,0.6619236788054015,0,0.0,1.0,0,0.0,0.9583305721485049,0,0.0,0.9628268917614631,1,2.0,0.3655181029515331,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9347584177975654,0,7.0,0.5341517441267392,0,2.0,0.8956292052241555,3,8.0,0.47998954626236406,0,4.0,0.8904914141060581,0,4.0,0.44639397948811793,0,0.0,0.9608642805598689,1,2.0,0.5932458236337167,6,36.0
35.0,96,0,14,0,96,0,63.0,0.65625,9.553171339088685,4,17.0,0.6319013520680032,2,4.0,0.594167414343202,0,0.0,1.0,0,0.0,0.5129523519560036,0,0.0,0.9432088423687451,0,3.0,0.6472354317123815,0,3.0,0.37735047707988184,0,0.0,1.0,0,0.0,0.8237160237305373,0,0.0,0.9335835603275663,1,5.0,0.7643907173074681,3,25.0,0.5887854987836608,0,4.0,0.8919932332129498,0,4.0,0.9316825224729564,1,2.0,0.6862993671577322,3,16.0,0.41385731864487446,14,83.0
40.0,112,0,23,0,112,0,127.0,1.1339285714285714,8.426087235602628,0,9.0,0.6233907185363894,2,16.0,0.5992635930741945,0,0.0,1.0,1,1.0,0.0005596131157742062,0,0.0,0.8421892803309069,0,0.0,0.9791826851064649,0,3.0,0.860275503259028,0,0.0,1.0,1,1.0,0.6386879008848064,0,0.0,0.7975702318716144,3,15.0,0.5984186961415394,5,44.0,0.5257883652685489,2,7.0,0.26879630767569573,0,4.0,0.8000745447966714,3,10.0,0.6389608902575936,6,41.0,0.08346730266898196,23,151.0
45.0,120,0,32,0,120,0,251.0,2.091666666666667,7.646680388709941,2,6.0,0.5472381661897038,2,28.0,0.7598606887189923,0,2.0,0.42642721899441494,0,0.0,0.5928022208290966,2,5.0,0.5519427628135497,0,0.0,0.9158056561396096,0,3.0,0.8760121493918474,0,2.0,0.4080453694563964,3,11.0,0.45562283144020993,0,0.0,0.942804263865261,5,34.0,0.3070022094714713,6,70.0,0.43555452805969275,1,8.0,0.0837738583867234,0,0.0,0.7707761267380071,4,28.0,0.575607167019769,7,72.0,0.20546300980069515,32,269.0
50.0,136,0,31,0,136,0,336.0,2.4705882352941178,7.482191666956117,2,10.0,0.539450186942941,0,4.0,0.8563091208038631,0,4.0,0.8080858191676055,0,0.0,0.9378962936564633,0,2.0,0.6252235309763489,2,8.0,0.23175631352490816,1,5.0,0.22972650321129687,0,2.0,0.9680923284413938,0,9.0,0.5230169575961614,0,0.0,0.8223245899456954,7,69.0,0.2622840827549572,6,100.0,0.2863408593931276,0,5.0,0.49346897361813763,0,0.0,0.8125078816393477,6,53.0,0.5241217331267715,7,107.0,0.42257599679065205,31,378.0
