step,system_total_running,system_total_backlogged,system_total_stopped,system_total_arrived,system_total_departed,system_total_teleported,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,0_stopped,0_accumulated_waiting_time,0_average_speed,1_stopped,1_accumulated_waiting_time,1_average_speed,10_stopped,10_accumulated_waiting_time,10_average_speed,11_stopped,11_accumulated_waiting_time,11_average_speed,12_stopped,12_accumulated_waiting_time,12_average_speed,13_stopped,13_accumulated_waiting_time,13_average_speed,14_stopped,14_accumulated_waiting_time,14_average_speed,15_stopped,15_accumulated_waiting_time,15_average_speed,2_stopped,2_accumulated_waiting_time,2_average_speed,3_stopped,3_accumulated_waiting_time,3_average_speed,4_stopped,4_accumulated_waiting_time,4_average_speed,5_stopped,5_accumulated_waiting_time,5_average_speed,6_stopped,6_accumulated_waiting_time,6_average_speed,7_stopped,7_accumulated_waiting_time,7_average_speed,8_stopped,8_accumulated_waiting_time,8_average_speed,9_stopped,9_accumulated_waiting_time,9_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
5.0,16,0,0,0,16,0,0.0,0.0,12.98511626848303,0,0.0,0.958964771385303,0,0.0,0.959541857471789,0,0.0,1.0,0,0.0,1.0,0,0.0,0.958089771908121,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9590480723104385,0,0.0,0.9588406571077874,0,0.0,0.9557948025710928,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9634536442806063,0,0.0,1.0,0,0.0
10.0,32,0,0,0,32,0,0.0,0.0,13.06634526799239,0,0.0,0.9488932888209012,0,0.0,0.9535616824145974,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9471031913084266,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9507898427460834,0,0.0,0.9509883721862892,0,0.0,0.8923762737936481,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.931498319827229,0,0.0,1.0,0,0.0
15.0,40,0,1,0,40,0,2.0,0.05,12.273329597176218,1,2.0,0.8206366465423894,0,0.0,0.9338842163118473,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9581259121179503,0,0.0,0.9318888630462477,0,0.0,1.0,0,0.0,1.0,0,0.0,0.7091355255175733,0,0.0,0.9567939984568494,0,0.0,0.951331862992348,0,0.0,0.8204440742972605,0,0.0,1.0,0,0.0,0.9311354212657859,0,0.0,0.9477350880279691,0,0.0,0.821432489298235,1,2.0
20.0,56,0,6,0,56,0,21.0,0.375,11.411185454640398,2,10.0,0.6956527850098209,0,0.0,0.9518277456429537,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9789796084961928,0,0.0,0.9678433145479232,0,0.0,1.0,0,0.0,1.0,3,9.0,0.43689858328931086,1,2.0,0.7665303278265765,0,0.0,0.9517816836704547,0,0.0,0.9716595122671042,0,0.0,1.0,0,0.0,0.9527548089960536,0,0.0,0.9677889304002106,0,0.0,0.9677006994528679,6,21.0
25.0,72,0,4,0,72,0,12.0,0.16666666666666666,9.974149670272698,0,3.0,0.7103118853909364,0,0.0,0.8851816267718885,0,0.0,1.0,0,0.0,1.0,1,1.0,0.7536435863051066,0,0.0,0.870814834750566,0,0.0,1.0,0,0.0,1.0,0,6.0,0.6036584043005083,2,9.0,0.5398907157079991,0,4.0,0.7275183294564498,0,0.0,0.8813546912325582,0,2.0,0.46210374944549887,0,0.0,0.9648959947610019,1,2.0,0.6684985600897949,0,0.0,0.5798276892133032,4,27.0
30.0,80,0,16,0,80,0,41.0,0.5125,8.83921988421839,2,4.0,0.6991992610082135,0,0.0,0.9382715650376683,0,0.0,1.0,0,0.0,0.9652599077127357,3,9.0,0.47684134445471077,2,4.0,0.33797338480925126,0,0.0,1.0,0,0.0,1.0,0,0.0,0.8578555231357873,0,3.0,0.5674686091098514,1,6.0,0.6891046315765559,2,4.0,0.5479613552806538,0,4.0,0.8699484090260691,0,4.0,0.4250678980854837,3,12.0,0.4170315057760328,3,6.0,0.46573259945501966,16,56.0
35.0,96,0,21,0,96,0,118.0,1.2291666666666667,8.876243723100263,1,2.0,0.6231306126902159,1,6.0,0.6116002404561124,0,0.0,1.0,0,0.0,0.9915121438747077,3,24.0,0.40343217008167204,0,1.0,0.5200809444265381,0,4.0,0.5385996108508788,0,0.0,1.0,0,0.0,0.944634010853067,0,0.0,0.9746907264510869,4,21.0,0.6232762479390254,4,20.0,0.1854347666040324,0,4.0,0.9180820971194207,0,4.0,0.9245586873203446,5,33.0,0.37381916128951237,3,21.0,0.4766866648214654,21,140.0
40.0,112,0,10,0,112,0,61.0,0.5446428571428571,8.556860439349542,3,13.0,0.6280167776780292,0,4.0,0.8264835367082416,0,4.0,0.6626595661016026,0,0.0,0.040958572466089326,5,46.0,0.3217007979263396,0,0.0,0.9834454887090334,0,4.0,0.9201343380255793,0,0.0,1.0,0,0.0,0.8639895092041031,0,0.0,0.8450863159828004,1,18.0,0.3861639996410987,1,19.0,0.3367124869795602,0,4.0,0.7155285499584824,0,4.0,0.9035255400743603,0,24.0,0.4576242541466481,0,11.0,0.5014256219066086,10,151.0
45.0,120,0,18,0,120,0,117.0,0.975,9.310894465877633,0,8.0,0.6100808533245569,0,4.0,0.8725505288248204,0,4.0,0.8764851005166667,2,7.0,0.37978318401373906,7,77.0,0.20758486824288636,0,0.0,1.0,0,4.0,0.9527611496426864,0,0.0,1.0,0,0.0,0.8163218870888397,1,3.0,0.6142940897586845,5,24.0,0.3981014965735496,1,13.0,0.8193598817620938,0,4.0,0.96212386432545,0,0.0,0.8817941364056421,0,0.0,0.6993555313210953,2,10.0,0.5769529050718009,18,158.0
50.0,136,0,20,0,136,0,141.0,1.036764705882353,8.707993692406964,1,4.0,0.7166207874418403,2,7.0,0.4674200240991485,0,4.0,0.8100416928925266,0,0.0,0.9527662747258366,9,120.0,0.27179136152948674,0,4.0,0.4296107848211259,2,7.0,0.023056369658016575,0,4.0,0.4912173013314981,1,1.0,0.576473562815265,0,0.0,0.7784991020100321,2,26.0,0.5646543639809017,0,7.0,0.8804516561050258,0,4.0,0.873865347643144,0,3.0,0.4998905738683664,3,10.0,0.39689577902772105,0,7.0,0.838732902498586,20,208.0
